RegionID,RegionName,StateName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06
61639,10025,New York,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,851300,825100,777200,751500,727000,857200,832400,878000,874600,893700,918700,818100,783900,699500,719700,724500,841100,836100,889600,847700,858200,875600,959800,943400,943600,894000,917400,967100,907200,894500,851000,851300,877800,883800,862100,867300,905000,952800,1013700,1019400,1102800,1047100,1011800,928800,948500,932700,909600,911100,908400,985100,979300,941400,930300,1001500,1090000,1140200,1046000,945100,920300,916600,1081900,1048200,1215200,998900
84654,60657,Illinois,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400500,379500,383200,390000,407800,383100,379300,382600,388300,381800,371200,375500,364400,351900,342100,342700,312800,317400,301300,316800,313200,324500,327200,321400,331800,349500,340800,322000,311200,315700,331600,314200,319800,316200,318000,308500,302400,306500,317000,338200,353900,357600,359800,363800,372700,332100,329000,320400,365500,388000,386500,394900,390100,415900,435600,447600,424000,387300,379100,400700
61637,10023,New York,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,938600,916500,891100,924500,925700,985300,1015300,1030700,974800,1028800,1081200,1127200,1085100,1064300,1060400,1073800,1212100,1345200,1261500,1131800,993200,971700,940500,867500,865500,891500,932500,959300,1068800,1135100,1275600,1122300,1100600,942300,1066900
91982,77494,Texas,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,251700,269700,264100,260400,247500,252200,251500,255100,259200,257900,267200,264100,269600,264800,264700,254200,253000,252600,263800,264300,264000,256400,250000,251000,257800,265500,266900,268200,274500,281800,280000,273100,272400,275500,280700,277000,279200,279700,281800,278700,280800,284400,292100,290700,288300,290200,291800,301700,300500,313200,311400,313300,301700,294700,302300,305600,313400,304800,304900,303000,302900,304400,309000,313100,314600,316300,314600,322200,329800,335500,337300,328100,325900,315000,314800,316500,318600,317700,319000,322000,322400,332400,334200,340000,343600,342800,343700,331700,334100,320800,316700,311700,330700,336200,345500,332700,334100,333500,337100
84616,60614,Illinois,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,504300,369700,388500,392200,401800,401500,376400,369800,365100,371700,360700,389900,403700,435600,419400,379200,395200,433300,506100,525900,514500,534400,535500,552100,548800,515000,498900,484100
91940,77449,Texas,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145900,148000,146900,148200,149100,152300,152300,153000,154900,155900,152500,150600,155500,161900,163800,159400,158900,163900,171200,172900,172400,169000,166700,165500,167600,167800,169400,164700,166100,163900,169200,170500,174200,174700,176600,176900,175900,174200,171900,176800,178200,180300,177200,178300,177800,179300,183200,186700,190600,190800,189400,186000,184100,185200,187800,188900
93144,79936,Texas,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112700,113500,113700,121900,122500,127000,121000,128500,123900,125100,117700,123600,118900,119900,116200,120000,119500,118400,117700,117400,117300,120100,124100,121500,121700,118600,117700,120300,119700,115900,105700,108400,114000,121900,119700,120800,117800,119800,119100,118600,117200,116900,120200,117200,118400,116900,120100,120100,121700,121800,123800,122200,120600,117500,119600,123700,121200,117200,114300,119500,118600,117800,118500,123600,127700,127500,125300,124200,125500,129600,129400,127100,126600,128800,129000,126700,131400,133200,132900,127800,128200,127600,127300,127500,131000,132000,130700,129200,129200,127600,127500,128300,134300,140000,140300,140200,138600
61616,10002,New York,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450700,429600,408200,437900,450600,466100,448800,489400,526400,550700,535000,545000,535600,572800,547200,544800,519200,558100,551900,556500,548100,555400,572600,580000,620200,593500,616800,672100,689600,656700,573300,592500,585300,647700,634800,653800,654300,686300,683400,672900,723000,782700,833300,822200,816900,781400,768000,749000,740300,752000,795200,796600,828700,752500,767300,708800,798200,777000,860900,842800,850300,809700,816200,853800,854800,916500,952700,962900,872400,832300,809900,856300,786100,782000,727300,842300,828400,803700,699100,665100,708700,789100
84640,60640,Illinois,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237800,240600,239800,230500,235600,226500,227000,225000,242000,256800,262700,248500,230800,223000,217500,200600,181600,184200,206500,228700,225400,228700,233000,232400,227400,230700,236300,246100,249400,261700,254200,245500,231900,230700,236100,236400,233900,230100,219100,220400,215600,238700,219700,205300,215700,243800,267900,252400,237700,237500,245400,239400,250200,233200,252500,246900,272400,293200,293600,283300
92593,78660,Texas,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181000,181600,180300,183900,185300,183500,183300,184500,189900,191800,195600,202200,208200,216000,213000,210800,204900,204500,206200,206500,210700,206600,206600,205100,213400,218600,222500,223300,224600,227200,231700,241500,242000,240600,234700,234500,234000,231900,233700,241200,242600,243400,239900,242200,239600,238800,239200,243800,246300,249600,248700,251900,245800,250200,250900,256500,257600,254600,254500,256900,260100,263100
